now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
12334,22.32,55.80,22.75,102657,-4.496,-2.198,29.076,-0.099,-0.183,0.944,40.25,931.00,-263.00,-782.00,3088.0000
12408,22.33,55.78,22.75,102657,19.840,-3.053,37.916,-0.159,-0.080,0.760,40.53,866.00,-261.00,-782.00,3087.0000
12482,22.33,55.80,22.75,102654,17.542,-9.534,34.618,-0.070,-0.028,0.924,40.67,828.00,-256.00,-797.00,3086.0000
12556,22.33,55.82,22.75,102654,4.389,-9.038,46.779,-0.045,0.008,0.951,40.34,768.00,-243.00,-815.00,3088.0000
12635,22.33,55.83,22.76,102654,-2.580,-10.351,65.687,-0.015,-0.021,1.038,40.67,717.00,-241.00,-812.00,3083.0000
12709,22.33,55.82,22.76,102654,-11.588,-6.794,83.641,-0.176,-0.036,1.134,40.39,645.00,-238.00,-807.00,3083.0000
12783,22.34,55.80,22.76,102655,-17.282,-4.298,97.198,-0.108,-0.076,1.017,40.53,573.00,-258.00,-805.00,3087.0000
12857,22.35,55.81,22.76,102652,23.656,-18.344,111.718,-0.270,-0.023,1.102,40.39,465.00,-232.00,-817.00,3088.0000
12936,22.32,55.85,22.76,102651,-29.603,9.786,106.496,-0.167,-0.015,0.971,40.39,405.00,-227.00,-802.00,3087.0000
13010,22.35,55.81,22.76,102656,-6.656,5.977,97.893,-0.078,-0.020,0.803,40.25,331.00,-215.00,-792.00,3088.0000
13084,22.34,55.84,22.76,102656,14.061,2.870,88.267,-0.087,-0.069,0.900,40.44,263.00,-197.00,-792.00,3083.0000
13158,22.34,55.88,22.76,102661,-16.702,1.977,59.893,-0.057,-0.109,0.922,40.25,235.00,-166.00,-790.00,3086.0000
13232,22.34,55.90,22.76,102661,-6.924,-4.565,40.153,-0.195,-0.149,1.123,40.53,225.00,-140.00,-780.00,3085.0000
13326,22.32,55.93,22.76,102658,2.260,17.534,36.771,-0.130,-0.126,1.037,40.53,182.00,-135.00,-770.00,3086.0000
13402,22.33,55.92,22.76,102658,5.473,1.405,4.817,-0.239,-0.100,1.027,40.44,157.00,-120.00,-757.00,3083.0000
13476,22.33,55.93,22.76,102659,11.580,9.153,20.267,-0.280,-0.085,1.038,40.39,105.00,-120.00,-750.00,3087.0000
13550,22.34,55.95,22.76,102659,6.038,7.695,11.748,-0.198,-0.090,0.984,40.44,63.00,-130.00,-727.00,3086.0000
13624,22.35,55.95,22.76,102658,-6.176,7.015,5.099,-0.204,-0.088,0.835,40.44,52.00,-145.00,-720.00,3087.0000
13703,22.35,55.98,22.76,102658,21.130,8.893,9.115,-0.226,-0.081,0.869,40.34,-11.00,-156.00,-677.00,3085.0000
13777,22.35,55.99,22.76,102656,12.885,11.183,6.878,-0.157,-0.073,0.797,40.67,-42.00,-168.00,-660.00,3084.0000
13851,22.35,55.99,22.76,102656,-6.962,10.863,10.298,-0.258,-0.064,0.945,40.20,-71.00,-168.00,-662.00,3088.0000
13925,22.36,55.98,22.76,102653,-11.771,-12.397,10.229,-0.200,-0.013,0.893,40.44,-71.00,-166.00,-647.00,3087.0000
14004,22.35,56.02,22.76,102653,-14.038,7.573,29.244,-0.242,0.042,0.969,40.58,-95.00,-158.00,-638.00,3085.0000
14078,22.36,55.96,22.76,102658,-16.542,10.130,-2.328,-0.234,-0.010,0.956,40.53,-83.00,-168.00,-613.00,3085.0000
14152,22.37,55.96,22.76,102658,-2.527,-2.145,-5.389,-0.321,0.013,0.921,40.58,-100.00,-171.00,-608.00,3085.0000
14226,22.36,56.00,22.76,102655,-7.076,-11.832,-14.588,-0.272,0.029,0.911,40.34,-100.00,-171.00,-596.00,3086.0000
14300,22.36,56.00,22.76,102655,-8.321,-15.580,-27.389,-0.211,-0.089,0.787,40.25,-76.00,-207.00,-606.00,3088.0000
14379,22.34,56.04,22.77,102657,15.336,-13.473,-17.809,-0.320,-0.116,0.972,40.39,-78.00,-195.00,-578.00,3083.0000
14455,22.37,56.02,22.77,102657,12.763,-20.435,-23.954,-0.266,-0.155,0.979,40.34,-76.00,-202.00,-563.00,3087.0000
14529,22.36,56.04,22.77,102657,-11.878,-4.420,-11.137,-0.257,-0.142,1.097,40.53,-52.00,-205.00,-571.00,3085.0000
14603,22.37,56.02,22.77,102657,-21.847,-11.656,-17.672,-0.174,-0.157,1.036,40.39,-23.00,-193.00,-568.00,3088.0000
14682,22.37,56.05,22.77,102659,-18.443,-5.649,-8.359,-0.196,-0.167,1.123,40.34,8.00,-186.00,-581.00,3086.0000
14756,22.37,56.04,22.77,102659,-23.863,-6.840,-19.756,-0.107,-0.253,1.050,40.67,50.00,-163.00,-586.00,3087.0000
14830,22.38,56.06,22.77,102659,2.985,-2.985,-19.458,-0.049,-0.376,1.069,40.39,61.00,-147.00,-581.00,3087.0000
14904,22.37,56.07,22.77,102659,12.641,-2.969,-1.038,-0.099,-0.310,1.119,40.34,40.00,-171.00,-571.00,3087.0000
14978,22.37,56.07,22.78,102660,-10.504,5.992,-25.344,-0.162,-0.225,1.090,40.67,57.00,-193.00,-586.00,3086.0000
15057,22.36,56.13,22.78,102660,2.626,14.901,-17.527,0.026,-0.228,0.950,40.67,55.00,-233.00,-566.00,3085.0000
15131,22.36,56.11,22.79,102660,9.458,27.885,-30.298,-0.009,-0.247,1.000,40.58,28.00,-271.00,-563.00,3085.0000
15205,22.36,56.13,22.79,102660,4.924,22.092,-41.550,-0.109,-0.260,0.928,40.44,18.00,-297.00,-561.00,3088.0000
15279,22.36,56.17,22.79,102663,23.519,14.267,-48.107,-0.087,-0.222,0.943,40.34,35.00,-292.00,-538.00,3087.0000
15353,22.37,56.15,22.79,102663,18.458,16.328,-75.649,-0.099,-0.182,0.854,40.39,78.00,-290.00,-508.00,3085.0000
15432,22.37,56.22,22.79,102660,3.130,37.557,-59.366,-0.106,-0.163,1.041,40.34,165.00,-305.00,-468.00,3085.0000
15506,22.38,56.17,22.79,102660,-7.687,38.290,-50.397,-0.165,-0.180,0.917,40.39,245.00,-331.00,-448.00,3086.0000
15580,22.37,56.19,22.79,102661,-13.321,32.618,-58.748,-0.196,-0.233,0.965,40.34,336.00,-341.00,-426.00,3085.0000
15654,22.38,56.21,22.79,102661,22.496,26.649,-37.771,-0.125,-0.211,0.913,40.67,371.00,-360.00,-391.00,3086.0000
15733,22.37,56.23,22.79,102662,12.313,20.611,-33.374,-0.251,-0.179,1.085,40.39,386.00,-370.00,-381.00,3087.0000
15809,22.38,56.23,22.79,102667,-0.840,16.840,-28.084,-0.198,-0.181,0.947,40.39,407.00,-382.00,-356.00,3086.0000
15883,22.38,56.25,22.79,102667,0.832,12.588,-9.366,-0.254,-0.229,1.020,40.25,443.00,-388.00,-363.00,3088.0000
15957,22.38,56.27,22.79,102663,5.809,5.527,-1.779,-0.205,-0.205,0.985,40.72,433.00,-375.00,-351.00,3085.0000
16031,22.38,56.30,22.79,102663,18.565,-0.672,-3.641,-0.296,-0.197,0.984,40.53,438.00,-365.00,-341.00,3087.0000
