now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
5964,0.00,0.00,0.00,0,1.672,1.641,-0.214,-0.096,-0.132,0.992,41.30,1196.00,675.00,-895.00,3097.0000
5993,0.00,0.00,0.00,0,1.565,1.641,-0.244,-0.094,-0.127,0.986,41.32,1198.00,677.00,-890.00,3098.0000
6027,0.00,0.00,0.00,0,1.626,1.641,-0.237,-0.094,-0.134,0.994,41.31,1193.00,680.00,-882.00,3098.0000
6056,0.00,0.00,0.00,0,1.618,1.634,-0.298,-0.095,-0.128,0.990,41.31,1186.00,680.00,-880.00,3100.0000
6085,0.00,0.00,0.00,0,1.626,1.718,-0.282,-0.093,-0.130,0.984,41.31,1191.00,680.00,-897.00,3098.0000
6114,0.00,0.00,0.00,0,1.718,1.489,-0.282,-0.094,-0.126,0.989,41.31,1196.00,680.00,-887.00,3095.0000
6143,0.00,0.00,0.00,0,1.756,1.679,-0.298,-0.102,-0.132,0.994,41.30,1183.00,675.00,-890.00,3095.0000
6177,0.00,0.00,0.00,0,1.679,1.611,-0.198,-0.095,-0.130,0.992,41.31,1183.00,672.00,-902.00,3098.0000
6206,0.00,0.00,0.00,0,1.611,1.672,-0.206,-0.099,-0.126,0.991,41.29,1186.00,685.00,-890.00,3099.0000
6235,0.00,0.00,0.00,0,1.626,1.763,-0.229,-0.098,-0.132,0.996,41.30,1188.00,675.00,-880.00,3098.0000
6264,0.00,0.00,0.00,0,1.649,1.641,-0.221,-0.094,-0.130,0.994,41.30,1188.00,677.00,-900.00,3098.0000
6293,0.00,0.00,0.00,0,1.664,1.695,-0.176,-0.096,-0.133,0.992,41.30,1186.00,677.00,-895.00,3099.0000
6326,0.00,0.00,0.00,0,1.679,1.580,-0.237,-0.093,-0.132,0.995,41.30,1186.00,675.00,-892.00,3095.0000
6355,0.00,0.00,0.00,0,1.695,1.626,-0.282,-0.099,-0.132,0.989,41.30,1193.00,675.00,-885.00,3098.0000
6384,0.00,0.00,0.00,0,1.664,1.626,-0.252,-0.097,-0.132,0.985,41.30,1188.00,682.00,-897.00,3099.0000
6413,0.00,0.00,0.00,0,1.611,1.664,-0.206,-0.098,-0.134,0.992,41.30,1186.00,677.00,-880.00,3099.0000
6442,0.00,0.00,0.00,0,1.634,1.649,-0.206,-0.092,-0.131,0.991,41.30,1191.00,682.00,-895.00,3099.0000
6492,0.00,0.00,0.00,0,1.618,1.733,-0.183,-0.096,-0.130,0.993,41.30,1183.00,675.00,-887.00,3098.0000
6521,0.00,0.00,0.00,0,1.634,1.641,-0.214,-0.096,-0.130,0.990,41.29,1198.00,665.00,-877.00,3098.0000
6550,0.00,0.00,0.00,0,1.641,1.664,-0.229,-0.096,-0.132,0.988,41.29,1191.00,695.00,-895.00,3100.0000
6579,0.00,0.00,0.00,0,1.687,1.611,-0.252,-0.095,-0.127,1.000,41.29,1205.00,677.00,-895.00,3101.0000
6608,0.00,0.00,0.00,0,1.679,1.611,-0.206,-0.094,-0.131,0.992,41.29,1196.00,675.00,-882.00,3097.0000
6640,0.00,0.00,0.00,0,1.611,1.595,-0.252,-0.097,-0.138,0.983,41.30,1188.00,675.00,-890.00,3100.0000
6684,0.00,0.00,0.00,0,1.634,1.725,-0.260,-0.097,-0.128,0.992,41.30,1183.00,677.00,-887.00,3098.0000
6713,0.00,0.00,0.00,0,1.634,1.664,-0.275,-0.091,-0.132,0.991,41.30,1193.00,680.00,-887.00,3098.0000
6742,0.00,0.00,0.00,0,1.641,1.740,-0.290,-0.098,-0.132,0.990,41.30,1186.00,670.00,-895.00,3102.0000
6771,0.00,0.00,0.00,0,1.641,1.618,-0.260,-0.096,-0.130,0.982,41.31,1186.00,682.00,-882.00,3096.0000
6799,0.00,0.00,0.00,0,1.695,1.679,-0.267,-0.098,-0.131,0.990,41.32,1196.00,687.00,-902.00,3099.0000
6833,0.00,0.00,0.00,0,1.618,1.679,-0.260,-0.095,-0.133,0.988,41.29,1183.00,675.00,-900.00,3101.0000
6862,0.00,0.00,0.00,0,1.664,1.679,-0.176,-0.095,-0.135,0.993,41.30,1186.00,677.00,-905.00,3093.0000
6891,0.00,0.00,0.00,0,1.603,1.634,-0.206,-0.094,-0.132,0.986,41.30,1198.00,685.00,-875.00,3102.0000
6920,0.00,0.00,0.00,0,1.603,1.672,-0.275,-0.097,-0.130,0.998,41.29,1178.00,672.00,-880.00,3099.0000
6949,0.00,0.00,0.00,0,1.603,1.664,-0.206,-0.097,-0.128,0.993,41.29,1181.00,677.00,-895.00,3099.0000
6983,0.00,0.00,0.00,0,1.626,1.580,-0.229,-0.092,-0.128,0.983,41.29,1193.00,690.00,-897.00,3098.0000
7012,0.00,0.00,0.00,0,1.618,1.733,-0.229,-0.101,-0.129,0.995,41.31,1191.00,660.00,-895.00,3098.0000
7041,0.00,0.00,0.00,0,1.565,1.656,-0.221,-0.093,-0.134,0.990,41.30,1183.00,682.00,-910.00,3095.0000
7070,0.00,0.00,0.00,0,1.603,1.824,-0.237,-0.100,-0.130,0.989,41.31,1176.00,692.00,-887.00,3098.0000
7098,0.00,0.00,0.00,0,1.550,1.534,-0.221,-0.089,-0.135,0.980,41.30,1188.00,672.00,-890.00,3099.0000
7132,0.00,0.00,0.00,0,1.679,1.618,-0.206,-0.095,-0.134,0.997,41.30,1181.00,680.00,-892.00,3101.0000
7161,0.00,0.00,0.00,0,1.603,1.763,-0.214,-0.097,-0.130,0.988,41.31,1181.00,660.00,-897.00,3098.0000
7190,0.00,0.00,0.00,0,1.695,1.496,-0.221,-0.095,-0.131,0.992,41.30,1178.00,680.00,-897.00,3097.0000
7219,0.00,0.00,0.00,0,1.687,1.656,-0.206,-0.098,-0.132,0.990,41.30,1178.00,667.00,-900.00,3098.0000
7248,0.00,0.00,0.00,0,1.656,1.672,-0.214,-0.097,-0.133,0.998,41.31,1183.00,675.00,-895.00,3097.0000
7282,0.00,0.00,0.00,0,1.626,1.573,-0.275,-0.093,-0.131,0.991,41.31,1191.00,692.00,-895.00,3098.0000
7311,0.00,0.00,0.00,0,1.618,1.725,-0.221,-0.099,-0.132,0.993,41.30,1183.00,667.00,-872.00,3099.0000
7340,0.00,0.00,0.00,0,1.695,1.527,-0.214,-0.094,-0.131,0.996,41.29,1186.00,687.00,-890.00,3099.0000
7368,0.00,0.00,0.00,0,1.649,1.695,-0.214,-0.095,-0.136,0.997,41.29,1186.00,677.00,-890.00,3098.0000
7397,0.00,0.00,0.00,0,1.573,1.618,-0.214,-0.097,-0.134,0.987,41.29,1176.00,690.00,-877.00,3099.0000
7431,0.00,0.00,0.00,0,1.618,1.580,-0.244,-0.088,-0.131,0.989,41.30,1186.00,665.00,-875.00,3098.0000
7460,0.00,0.00,0.00,0,1.618,1.672,-0.237,-0.097,-0.129,0.990,41.28,1186.00,672.00,-890.00,3095.0000
7510,0.00,0.00,0.00,0,1.634,1.641,-0.183,-0.094,-0.133,0.994,41.31,1181.00,672.00,-897.00,3094.0000
7538,0.00,0.00,0.00,0,1.656,1.626,-0.237,-0.096,-0.131,0.987,41.30,1183.00,672.00,-910.00,3097.0000
7567,0.00,0.00,0.00,0,1.656,1.664,-0.237,-0.096,-0.130,0.992,41.30,1186.00,675.00,-885.00,3098.0000
7601,0.00,0.00,0.00,0,1.656,1.656,-0.206,-0.094,-0.130,0.998,41.30,1191.00,687.00,-880.00,3102.0000
7629,0.00,0.00,0.00,0,1.626,1.641,-0.282,-0.097,-0.131,0.990,41.30,1188.00,677.00,-887.00,3098.0000
